step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.24196,0.66667,,
2,4.07702,0.55556,,
3,4.44629,0.44444,,
4,2.93643,0.55556,,
5,2.97862,0.66667,,
6,3.96998,0.44444,,
7,3.0583,0.55556,,
8,2.75057,0.66667,,
9,2.72557,0.66667,,
10,2.92801,0.66667,,
11,2.23325,0.66667,,
12,2.09641,0.66667,,
13,2.51571,0.55556,,
14,2.46621,0.55556,,
15,2.11122,0.66667,,
16,1.70577,0.66667,,
17,1.53761,0.55556,,
18,1.61577,0.44444,,
19,0.88432,0.66667,,
20,1.44759,0.55556,,
21,1.73875,0.66667,,
22,0.93301,0.66667,,
23,0.86274,0.77778,,
24,0.42002,0.44444,,
25,0.26363,0.77778,,
26,0.48899,0.77778,,
27,0.01406,1.0,,
28,0.33714,0.88889,,
29,0.00591,1.0,,
30,0.25072,0.88889,,
31,0.008,1.0,,
32,0.05359,1.0,,
33,0.37076,0.88889,,
34,0.17309,0.88889,,
35,0.05903,1.0,,
36,0.24806,0.88889,,
37,0.05252,1.0,,
38,1.57988,0.77778,,
39,0.56844,0.88889,,
40,0.49465,0.77778,,
41,0.02052,1.0,,
42,0.11565,0.88889,,
43,0.06034,1.0,,
44,0.00332,1.0,,
45,0.03385,1.0,,
46,0.13536,1.0,,
47,0.45766,0.77778,,
48,0.9706,0.77778,,
49,0.00701,1.0,,
50,0.46125,0.88889,,
51,0.02729,1.0,,
52,0.11546,1.0,,
53,0.15178,0.88889,,
54,0.13615,0.88889,,
55,0.0792,1.0,,
56,0.0062,1.0,,
57,0.08524,1.0,,
58,0.57753,0.77778,,
59,1.2419,0.66667,,
60,0.6266,0.77778,,
61,0.14089,0.88889,,
62,0.50779,0.77778,,
63,0.51375,0.77778,,
64,0.10003,0.88889,,
65,0.15298,0.88889,,
66,0.42728,0.88889,,
67,0.79686,0.88889,,
68,0.33286,0.88889,,
69,0.52391,0.66667,,
70,0.01456,1.0,,
71,0.02813,1.0,,
72,0.06639,1.0,,
73,0.46161,0.77778,,
74,0.01733,1.0,,
75,0.16022,0.88889,,
76,0.41886,0.88889,,
77,0.85665,0.66667,,
78,0.17059,0.88889,,
79,0.30805,0.77778,,
80,0.01691,1.0,,
81,0.02906,1.0,,
82,0.18065,0.88889,,
83,0.18709,0.88889,,
84,0.17087,0.88889,,
85,0.0629,1.0,,
86,0.30325,0.88889,,
87,0.06892,1.0,,
88,0.081,1.0,,
89,0.08198,0.88889,,
90,0.18298,0.88889,,
91,0.086,1.0,,
92,0.61486,0.88889,,
93,0.21415,0.77778,,
94,0.18945,0.88889,,
95,0.10278,1.0,,
96,0.13181,0.88889,,
97,0.1756,0.83333,,
98,0.72529,0.77778,,
99,0.03345,1.0,,
100,0.49404,0.88889,,
101,0.11079,0.88889,,
102,0.02938,1.0,,
103,1.43865,0.77778,,
104,0.44502,0.77778,,
105,0.42039,0.77778,,
106,0.04023,1.0,,
107,0.24432,0.88889,,
108,0.08178,1.0,,
109,0.07962,1.0,,
110,0.00827,1.0,,
111,0.38634,0.77778,,
112,0.08183,1.0,,
113,1.19532,0.77778,,
114,0.91926,0.77778,,
115,0.5383,0.88889,,
116,0.00213,1.0,,
117,0.00087,1.0,,
118,0.80912,0.77778,,
119,0.03174,1.0,,
120,0.39593,0.77778,,
121,0.47105,0.77778,,
122,0.70809,0.88889,,
123,0.02116,1.0,,
124,0.01441,1.0,,
125,0.00501,1.0,,
126,0.00596,1.0,,
127,0.7672,0.77778,,
128,0.00525,1.0,,
129,0.05865,1.0,,
130,0.01906,1.0,,
131,0.94525,0.66667,,
132,0.11997,0.88889,,
133,0.39288,0.88889,,
134,0.10501,0.88889,,
135,0.33249,0.88889,,
136,0.56194,0.66667,,
137,0.98472,0.75,,
